time_iso8601,forks_cumulative
2025-05-19 00:00:00+00:00,288
2025-05-20 00:00:00+00:00,289
2025-05-21 00:00:00+00:00,290
2025-05-26 00:00:00+00:00,291
2025-05-27 00:00:00+00:00,292
2025-05-28 00:00:00+00:00,294
2025-06-04 00:00:00+00:00,295
2025-06-06 00:00:00+00:00,297
2025-06-09 00:00:00+00:00,298
2025-06-11 00:00:00+00:00,299
2025-06-12 00:00:00+00:00,301
2025-06-13 00:00:00+00:00,302
2025-06-16 00:00:00+00:00,304
2025-06-17 00:00:00+00:00,306
2025-06-24 00:00:00+00:00,307
2025-06-25 00:00:00+00:00,308
2025-06-26 00:00:00+00:00,309
2025-06-27 00:00:00+00:00,310
2025-06-29 00:00:00+00:00,311
2025-07-01 00:00:00+00:00,312
2025-07-02 00:00:00+00:00,313
2025-07-04 00:00:00+00:00,314
2025-07-11 00:00:00+00:00,316
2025-07-15 00:00:00+00:00,318
2025-07-16 00:00:00+00:00,321
2025-07-19 00:00:00+00:00,322
2025-07-21 00:00:00+00:00,323
2025-07-22 00:00:00+00:00,326
2025-07-23 00:00:00+00:00,327
2025-07-24 00:00:00+00:00,328
2025-07-28 00:00:00+00:00,329
2025-07-29 00:00:00+00:00,331
2025-07-30 00:00:00+00:00,332
2025-07-31 00:00:00+00:00,335
2025-08-01 00:00:00+00:00,336
2025-08-04 00:00:00+00:00,337
2025-08-12 00:00:00+00:00,338
2025-08-14 00:00:00+00:00,340
2025-08-18 00:00:00+00:00,341
2025-08-20 00:00:00+00:00,343
2025-08-21 00:00:00+00:00,344
2025-08-22 00:00:00+00:00,345
2025-08-25 00:00:00+00:00,346
2025-08-28 00:00:00+00:00,348
2025-08-29 00:00:00+00:00,349
2025-09-02 00:00:00+00:00,350
2025-09-03 00:00:00+00:00,353
2025-09-05 00:00:00+00:00,355
2025-09-06 00:00:00+00:00,356
2025-09-08 00:00:00+00:00,357
2025-09-09 00:00:00+00:00,359
2025-09-11 00:00:00+00:00,361
2025-09-16 00:00:00+00:00,362
2025-09-17 00:00:00+00:00,363
2025-09-18 00:00:00+00:00,364
2025-09-19 00:00:00+00:00,365
2025-09-20 00:00:00+00:00,366
2025-09-24 00:00:00+00:00,367
2025-09-28 00:00:00+00:00,369
2025-09-29 00:00:00+00:00,370
2025-09-30 00:00:00+00:00,371
2025-10-06 00:00:00+00:00,372
2025-10-08 00:00:00+00:00,373
2025-10-09 00:00:00+00:00,376
2025-10-11 00:00:00+00:00,377
2025-10-13 00:00:00+00:00,380
2025-10-14 00:00:00+00:00,384
2025-10-15 00:00:00+00:00,387
2025-10-16 00:00:00+00:00,390
2025-10-20 00:00:00+00:00,391
2025-10-21 00:00:00+00:00,392
2025-10-22 00:00:00+00:00,394
2025-10-24 00:00:00+00:00,395
2025-10-25 00:00:00+00:00,396
2025-10-28 00:00:00+00:00,397
2025-10-30 00:00:00+00:00,398
2025-10-31 00:00:00+00:00,400
2025-11-01 00:00:00+00:00,402
2025-11-02 00:00:00+00:00,403
2025-11-03 00:00:00+00:00,405
2025-11-05 00:00:00+00:00,408
2025-11-06 00:00:00+00:00,409
2025-11-07 00:00:00+00:00,410
2025-11-08 00:00:00+00:00,412
2025-11-09 00:00:00+00:00,413
2025-11-11 00:00:00+00:00,414
2025-11-12 00:00:00+00:00,415
2025-11-15 00:00:00+00:00,417
2025-11-20 00:00:00+00:00,418
2025-11-23 00:00:00+00:00,419
2025-11-24 00:00:00+00:00,421
2025-11-25 00:00:00+00:00,422
2025-11-26 00:00:00+00:00,424
2025-11-27 00:00:00+00:00,425
2025-12-04 00:00:00+00:00,426
2025-12-06 00:00:00+00:00,427
2025-12-07 00:00:00+00:00,428
2025-12-08 00:00:00+00:00,429
2025-12-10 00:00:00+00:00,430
2025-12-12 00:00:00+00:00,431
2025-12-18 00:00:00+00:00,432
2025-12-20 00:00:00+00:00,433
2025-12-23 00:00:00+00:00,434
2025-12-24 00:00:00+00:00,436
2025-12-26 00:00:00+00:00,437
2025-12-27 00:00:00+00:00,439
2026-01-05 00:00:00+00:00,441
2026-01-06 00:00:00+00:00,443
